1;Quando inizia l'anno liturgico?;All'Ascensione;Il mercoledì delle ceneri;La prima domenica di Avvento;.;3
2;"Cosa si intende per ""anno liturgico""?";Il ciclo annuale delle celebrazioni ecclesiali;Il ciclo di Pasqua;Il ciclo delle stagioni;.;1
3;Il calendario liturgico è composto da due cicli. Quali?;Il tempo di Avvento e di Quaresima;"Il ciclo ""Temporale"" e il ciclo ""Santorale""";Il ciclo invernale e estivo;.;2
4;"Il ciclo ""temporale"" è composto da …";Il tempo di Avvento, il tempo di Natale e le settimane che seguono fino alla festa del Battesimo di Gesù;Il ciclo di Natale, il ciclo di Pasqua e le settimane del tempo ordinario;Il tempo di Avvento e di Quaresima;.;2
5;"Cosa s'intende per ""tempo ordinario""?";L'insieme delle settimane che si succedono nell'intervallo dei cicli di Natale e di Pasqua;Le settimane del tempo di Avvento;Le ultime quattro settimane dell'anno liturgico;.;1
6;"Il periodo liturgico che costituisce il ciclo ""Santorale"" è composto";dalle celebrazioni dell'Anno Santo;dalle giornate di vacanza;dalle feste dei Santi iscritte nel calendario della Chiesa universale;.;3
7;Il ciclo liturgico di Natale comprende ..;l'Avvento, la festa di Natale, il tempo di Natale, l'Epifania e il periodo che segue fino alla festa del Battesimo del Signore;Il mercoledì delle ceneri, Quaresima e il Triduo pasquale;le quattro domeniche di Avvento;.;1
8;il ciclo liturgico di Pasqua comprende…;la Quaresima, la Settimana santa e il tempo pasquale;il periodo dell'Ascensione alla festa di tutti i Santi;il periodo da Pentecoste a Natale;.;1
9;"Da quante settimane è composto il ""tempo ordinario""?";27;34;12;.;2
10;L'ultima domenica dell'anno liturgico è dedicata alla solennità di Cristo Re. ;VERO;FALSO;;.;1
11;"Quanto settimane comprende il ""Tempo di Avvento""?";4 (nel rito romano) e 6 (nel rito ambrosiano);3 (nel rito romano) e 5 (nel rito ambrosiano);6 (nel rito romano) e 4 (nel rito ambrosiano);.;1
12;Quale grande festa cristiana prepara il tempo di Avvento?;Pasqua;Pentecoste;Natale;.;3
13;Con quale festa termina il periodo di Avvento?;Capodanno;Epifania;Natale;.;3
14;"Quale periodo liturgico segue il ""tempo di Natale""?";La prima parte del Tempo Ordinario;Tempo pasquale;Tempo d'Avvento;.;1
15;"Quando finisce il ""Tempo di Natale""?";A Santi Stefano;la domenica dopo l'Epifania (battesimo del Signore);A Pasqua;.;2
16;Il Periodo dell'Avvento inizia il mercoledì delle Ceneri.;VERO;FALSO;;.;2
17;"Con quale festa liturgica si ricorda la ""manifestazione"" di Gesù alle genti?";Santo Stefano;Natale;Epifania;.;3
18;In quale giorno ricorre la festa di Santo Stefano, il primo martire cristiano?;Capodanno;26-dic;15-ago;.;2
19;Con il rito delle Ceneri ha inizio un importante periodo che precee la Pasqua. Quale?;Avvento;Carnevale;Quaresima;.;3
20;Per quanti giorni si protrae il tempo di Quaresima?;40giorni;50 giorni;33 giorni;.;1
21;"La ""domenica delle Palme"" si ricorda un momento particolare della vita di Gesù, quale?";L'entrata solenne di Gesù in Gerusalemme;La crocifissione;La risurrezione di Lazzaro;.;1
22;In quale giorno termina il periodo quaresimale?;Il giovedì santo;il giorni di Pentecoste;Il mercoledì delle Ceneri;.;1
23;"Quando ricorre, nell'anno liturgico, la ""settimana santa""?";E' la settimana dopo Natale;"E' la settimana che precede la festa di ""Tutti i Santi""";E' la settimana che precede la domenica di Pasqua;.;2
24;"La ""domenica delle Palme"" è prima o dopo la domenica di Pasqua?";prima;dopo;;.;1
25;"In quale giorno della ""settimana santa"" si ricorda il gesto della lavanda dei piedi?";Venerdì;Domenica;Giovedì;.;3
26;Durante la celebrazioni liturgiche del periodo quaresimale non si canta l'alleluia.;VERO;FALSO;;.;1
27;"In quale giorno della ""Settimana Santa"" non viene celebrata l'Eucarestia?";Venerdì;Domenica;Lunedì;.;1
28;Il cero pasquale, acceso durante la Veglia di Pasqua, rimane vicino all'altare fino …;al mattino dell'Ascensione;alla sera di Pentecoste;al Lunedì dell'Angelo;.;1
29;"Quanto inizia il ""Triduo pasquale""?";Inizia con la Messa Vespertina el Giovedì Santo;Inizia con la benedione degli ulivi;Inizia subito dopo Pasqua;.;1
30;E' vero che durante il Venerdì santo le campane delle chiese non suonano?;VERO;FALSO;;.;1
31;Con quale festa cristiana si ricorda la risurrezione di Gesù?;Pentecoste;Pasqua;Natale;.;2
